,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
42,"Official home of the DB Browser for SQLite (DB4S) project. Previously known as ""SQLite Database Browser"" and ""Database Browser for SQLite"". Website at: ",sqlitebrowser/sqlitebrowser,19416551,C++,sqlitebrowser,355,18342,11452,
43,LeetCode Problems' Solutions ,haoel/leetcode,25449064,C++,leetcode,35,2459,10914,
44,"Simple, secure & standards compliant web I/O for the most demanding of applications",uNetworking/uWebSockets,54360307,C++,uWebSockets,18,2946,10634,
45,A TensorFlow implementation of Baidu's DeepSpeech architecture,mozilla/DeepSpeech,60273704,C++,DeepSpeech,99,46487,10400,
46,Cloud-native high-performance edge/middle/service proxy,envoyproxy/envoy,65214191,C++,envoy,494,35307,9938,
47,Telegram Desktop messaging app,telegramdesktop/tdesktop,19374812,C++,tdesktop,1040,131639,9684,
48,"FoundationDB - the open source, distributed, transactional key-value store",apple/foundationdb,114187903,C++,foundationdb,273,18594,9304,
49,"A modern, C++-native, header-only, test framework for unit-tests, TDD and BDD - using C++11, C++14, C++17 and later (or C++03 on the Catch1.x branch)",catchorg/Catch2,1062572,C++,Catch2,201,12884,9198,83.55516
50,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",google/libphonenumber,27500243,C++,libphonenumber,80,111553,9177,
51,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS and Windows.",xbmc/xbmc,1217614,C++,xbmc,494,1505795,9131,
52,"SEX IS ZERO (0), so, who wanna be the ONE (1), aha?",yangyangwithgnu/hardseed,21929029,C++,hardseed,35,36915,8994,
53,PArallel Distributed Deep LEarning （『飞桨』核心框架，高性能单机、分布式训练和跨平台部署）,PaddlePaddle/Paddle,65711522,C++,Paddle,1170,161003,8940,
54,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks. It is under the umbrella of the DMTK(http://github.com/microsoft/dmtk) project of Microsoft.",microsoft/LightGBM,64991887,C++,LightGBM,87,9863,8906,
55,Free (as in freedom) open source clone of the Age of Empires II engine :rocket:,SFTtech/openage,14095175,C++,openage,203,8342,8833,
56,Compatibility tool for Steam Play based on Wine and additional components,ValveSoftware/Proton,125098880,C++,Proton,1942,25080,8759,
57,CRYENGINE is a powerful real-time game development platform created by Crytek.,CRYTEK/CRYENGINE,59480719,C++,CRYENGINE,133,619885,8751,
58,Turi Create simplifies the development of custom machine learning models.,apple/turicreate,112676803,C++,turicreate,423,263045,8695,
59,基于Python的开源量化交易平台开发框架,vnpy/vnpy,31522041,C++,vnpy,14,134360,8680,
60,Napa.js: a multi-threaded JavaScript runtime,microsoft/napajs,97646385,C++,napajs,62,13058,8660,
61,"Industrial-grade RPC framework used throughout Baidu, with 1,000,000+ instances and thousands kinds of services, called ""baidu-rpc"" inside Baidu.",apache/incubator-brpc,102343794,C++,incubator-brpc,138,26859,8656,
62,Karabiner-Elements is a powerful utility for keyboard customization on macOS Sierra (10.12) or later.,tekezo/Karabiner-Elements,63037806,C++,Karabiner-Elements,99,65413,8621,
63,Automatic License Plate Recognition library,openalpr/openalpr,14259343,C++,openalpr,404,5722,8497,
64,Mobile Shell,mobile-shell/mosh,1234783,C++,mosh,215,2709,8363,
65,Convert HTML to PDF using Webkit (QtWebKit),wkhtmltopdf/wkhtmltopdf,271714,C++,wkhtmltopdf,774,6120,8295,
66,"🥑 ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.",arangodb/arangodb,2649214,C++,arangodb,536,933713,8123,
67,"Watches files and records, or triggers actions, when they change. ",facebook/watchman,6930489,C++,watchman,75,14040,8027,
68,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",PKUanonym/REKCARC-TSC-UHT,179613976,C++,REKCARC-TSC-UHT,6,3089990,7886,
69,A fast JSON parser/generator for C++ with both SAX/DOM style API,Tencent/rapidjson,17391973,C++,rapidjson,395,25571,7812,
70,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research",microsoft/AirSim,81887991,C++,AirSim,463,278534,7705,
71,Notepad++ official repository,notepad-plus-plus/notepad-plus-plus,33014811,C++,notepad-plus-plus,952,178704,7601,
72,"An efficient, small mobile key-value storage framework developed by WeChat. Works on iOS, Android, macOS and Windows.",Tencent/MMKV,149111813,C++,MMKV,4,924,7523,
73,Native cross-platform MongoDB management tool,Studio3T/robomongo,6580000,C++,robomongo,618,36583,7481,
74,A toolkit for making real world machine learning and data analysis applications in C++,davisking/dlib,16331291,C++,dlib,48,22899,7402,
75,ClickHouse is a free analytic DBMS for big data.,yandex/ClickHouse,60246359,C++,ClickHouse,820,123201,7194,
76,Nintendo Switch Emulator,yuzu-emu/yuzu,116167731,C++,yuzu,104,29656,7159,
77,An open source library for face detection in images. The face detection speed can reach 1500FPS. ,ShiqiYu/libfacedetection,29518121,C++,libfacedetection,93,80942,7045,
78,An open source re-implementation of RollerCoaster Tycoon 2 🎢,OpenRCT2/OpenRCT2,18348651,C++,OpenRCT2,1164,94341,7039,59.47216
79,"Solidity, the Contract-Oriented Programming Language",ethereum/solidity,40892817,C++,solidity,652,29096,7021,86.91870
80,"Provide ESP8266 based itead Sonoff with Web, MQTT and OTA firmware using Arduino IDE or PlatformIO",arendst/Sonoff-Tasmota,80286288,C++,Sonoff-Tasmota,24,30115,7016,
81,openFrameworks is a community-developed cross platform toolkit for creative coding in C++.,openframeworks/openFrameworks,345337,C++,openFrameworks,911,1997479,7013,
82,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS and WASM/WebGL",google/filament,143455116,C++,filament,36,475438,6977,
83,"Tars is a high-performance RPC framework based on name service and Tars protocol, also integrated administration platform, and implemented hosting-service via flexible schedule.",TarsCloud/Tars,79316451,C++,Tars,44,15590,6966,
84,Offline documentation browser inspired by Dash,zealdocs/zeal,7711472,C++,zeal,131,4875,6921,
85,Parsing gigabytes of JSON per second ,lemire/simdjson,126412363,C++,simdjson,42,6215,6919,
86,A brief computer graphics / rendering course,ssloy/tinyrenderer,29397594,C++,tinyrenderer,5,66684,6878,
87,"Open source core of Synergy, the keyboard and mouse sharing tool",symless/synergy-core,25135037,C++,synergy-core,259,97632,6772,
88,A library for efficient similarity search and clustering of dense vectors.,facebookresearch/faiss,81227005,C++,faiss,33,15502,6757,
89,"Swift audio synthesis, processing, & analysis platform for iOS, macOS and tvOS",AudioKit/AudioKit,16096528,C++,AudioKit,4,222329,6689,
90,A cross-platform shadowsocks GUI client,shadowsocks/shadowsocks-qt5,18427187,C++,shadowsocks-qt5,53,6624,6689,
91,software version control visualization,acaudwell/Gource,303762,C++,Gource,74,3799,6671,
92,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",horovod/horovod,99846383,C++,horovod,321,1562,6638,
93,PS3 emulator/debugger,RPCS3/rpcs3,6520784,C++,rpcs3,448,57550,6626,
94,ncnn is a high-performance neural network inference framework optimized for the mobile platform,Tencent/ncnn,95879426,C++,ncnn,141,7317,6566,
95,qBittorrent BitTorrent client,qbittorrent/qBittorrent,3351871,C++,qBittorrent,2581,172384,6556,
96,AndFix is a library that offer hot-fix for Android App.,alibaba/AndFix,42489883,C++,AndFix,237,15890,6555,
97,Cap'n Proto serialization/RPC system - core tools and C++ library,capnproto/capnproto,9090933,C++,capnproto,98,17157,6550,
98,A Magic Mask to Alter Android System Systemless-ly,topjohnwu/Magisk,67702184,C++,Magisk,33,31943,6444,
99,Apache Thrift,apache/thrift,310611,C++,thrift,19,24499,6403,
100,"Cross-platform, graphics API agnostic, ""Bring Your Own Engine/Framework"" style rendering library.",bkaradzic/bgfx,3925242,C++,bgfx,218,183405,6399,
101,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",VowpalWabbit/vowpal_wabbit,265995,C++,vowpal_wabbit,74,125422,6386,
102,:rainbow: Node.js bindings to libsass,sass/node-sass,4128353,C++,node-sass,164,24424,6361,
103,"Animated sprite editor & pixel art tool (Windows, macOS, Linux)",aseprite/aseprite,23129458,C++,aseprite,705,32110,6355,
104,"Ceph is a distributed object, block, and file storage platform ",ceph/ceph,2310495,C++,ceph,557,363570,6261,
105,A flexible level editor,bjorn/tiled,1418150,C++,tiled,443,43329,6259,
106,A collection of C++ HTTP libraries including an easy to use HTTP server.,facebook/proxygen,24776728,C++,proxygen,36,7519,6190,
107,"SSDB - A fast NoSQL database, an alternative to Redis",ideawu/ssdb,7561862,C++,ssdb,369,4233,6157,
108,Android NDK samples with Android Studio,googlesamples/android-ndk,35718695,C++,android-ndk,30,43873,6075,
109,A modern formatting library,fmtlib/fmt,7056202,C++,fmt,19,8458,6049,
110,"Customizable Windows terminal with tabs, splits, quake-style, hotkeys and more",Maximus5/ConEmu,2857373,C++,ConEmu,698,89946,6047,
111,Node canvas is a Cairo backed Canvas implementation for NodeJS.,Automattic/node-canvas,948957,C++,node-canvas,158,4112,5967,
112,Fast C++ logging library.,gabime/spdlog,26038648,C++,spdlog,42,38984,5966,
113,"SRS is a simple live streaming cluster, a simple joy.",ossrs/srs,34777562,C++,srs,350,211347,5957,30.57526
114,Diablo devolved - magic behind the 1996 computer game,diasurgical/devilution,127684759,C++,devilution,24,8474,5939,
115,A C++ non-blocking network library for multi-threaded server in Linux,chenshuo/muduo,648343,C++,muduo,39,1887,5917,
116,KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.,keepassxreboot/keepassxc,52729242,C++,keepassxc,578,20667,5755,62.44759
117,📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。,huihut/interview,120887835,C++,interview,1,5490,5722,
118,Linux system exploration and troubleshooting tool with first class support for containers,draios/sysdig,15926180,C++,sysdig,259,15004,5673,
119,:notebook:Solutions to Introduction to Algorithms,gzc/CLRS,14887195,C++,CLRS,53,12261,5671,
120,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,spotify/annoy,9155431,C++,annoy,11,1827,5536,
121,Abseil Common Libraries (C++),abseil/abseil-cpp,104231541,C++,abseil-cpp,43,3858,5488,
122,A retro game engine for Python,kitao/pyxel,136780445,C++,pyxel,7,60124,5479,
123,"LiteIDE is a simple, open source, cross-platform Go IDE. ",visualfc/liteide,6753728,C++,liteide,277,14782,5379,
124,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",dolphin-emu/dolphin,11577304,C++,dolphin,147,380536,5347,
125,"TrinityCore Open Source MMO Framework (master = 8.1.5.30706, 3.3.5 = 3.3.5a.12340)",TrinityCore/TrinityCore,1204412,C++,TrinityCore,1425,699991,5331,
126,Seamless operability between C++11 and Python,pybind/pybind11,38581626,C++,pybind11,369,4077,5291,
127,"ZeroMQ core engine in C++, implements ZMTP/3.1",zeromq/libzmq,263379,C++,libzmq,137,20148,5270,
128,"Background Music, a macOS audio utility: automatically pause your music, set individual apps' volumes and record system audio.",kyleneideck/BackgroundMusic,52422583,C++,BackgroundMusic,133,1672,5260,
129,Simple and Fast Multimedia Library,SFML/SFML,1524684,C++,SFML,110,87662,5181,
130,Crow is very fast and easy to use C++ micro web framework (inspired by Python Flask),ipkn/crow,18250334,C++,crow,162,910,5144,
131,"NoSQL data store using the seastar framework, compatible with Apache Cassandra",scylladb/scylla,28449431,C++,scylla,1070,48099,5144,
132,Free and open-source GUI for radare2 reverse engineering framework,radareorg/cutter,104732438,C++,cutter,174,10648,5077,
133,TattieBogle Xbox 360 Driver (with improvements),360Controller/360Controller,13163423,C++,360Controller,83,5389,5067,
134,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.",bulletphysics/bullet3,1605598,C++,bullet3,362,212484,5025,
135,"An easy, flexible, and accurate plate recognition project for Chinese licenses in unconstrained situations. ",liuruoze/EasyPR,24227875,C++,EasyPR,61,195032,5009,
136,A note-taking application that knows programmers and Markdown better.,tamlok/vnote,70038437,C++,vnote,253,19789,5003,
